Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n1000-mu1,0,Leiden-LPA-coreratio_0.0,0.0102,0.7243,0.9221
lfr-n1000-mu1,1,Leiden-LPA-coreratio_0.0,0.0096,0.7243,0.9221
lfr-n1000-mu1,2,Leiden-LPA-coreratio_0.0,0.01,0.7243,0.9221
lfr-n1000-mu1,3,Leiden-LPA-coreratio_0.0,0.0092,0.7243,0.9221
lfr-n1000-mu1,4,Leiden-LPA-coreratio_0.0,0.0098,0.7243,0.9221
lfr-n1000-mu1,5,Leiden-LPA-coreratio_0.0,0.0092,0.7243,0.9221
lfr-n1000-mu1,6,Leiden-LPA-coreratio_0.0,0.0092,0.7243,0.9221
lfr-n1000-mu1,7,Leiden-LPA-coreratio_0.0,0.0092,0.7243,0.9221
lfr-n1000-mu1,8,Leiden-LPA-coreratio_0.0,0.0101,0.7243,0.9221
lfr-n1000-mu1,9,Leiden-LPA-coreratio_0.0,0.0093,0.7243,0.9221
lfr-n1000-mu1,0,Leiden-LPA-coreratio_0.1,0.0126,0.6693,0.8009
lfr-n1000-mu1,1,Leiden-LPA-coreratio_0.1,0.0079,0.6693,0.8009
lfr-n1000-mu1,2,Leiden-LPA-coreratio_0.1,0.0076,0.6693,0.8009
lfr-n1000-mu1,3,Leiden-LPA-coreratio_0.1,0.008,0.6693,0.8009
lfr-n1000-mu1,4,Leiden-LPA-coreratio_0.1,0.0073,0.6693,0.8009
lfr-n1000-mu1,5,Leiden-LPA-coreratio_0.1,0.0075,0.6693,0.8009
lfr-n1000-mu1,6,Leiden-LPA-coreratio_0.1,0.0075,0.6693,0.8009
lfr-n1000-mu1,7,Leiden-LPA-coreratio_0.1,0.0073,0.6693,0.8009
lfr-n1000-mu1,8,Leiden-LPA-coreratio_0.1,0.0073,0.6693,0.8009
lfr-n1000-mu1,9,Leiden-LPA-coreratio_0.1,0.0072,0.6693,0.8009
lfr-n1000-mu1,0,Leiden-LPA-coreratio_0.2,0.0101,0.7053,0.8478
lfr-n1000-mu1,1,Leiden-LPA-coreratio_0.2,0.0103,0.7053,0.8478
lfr-n1000-mu1,2,Leiden-LPA-coreratio_0.2,0.01,0.7053,0.8478
lfr-n1000-mu1,3,Leiden-LPA-coreratio_0.2,0.0104,0.7053,0.8478
lfr-n1000-mu1,4,Leiden-LPA-coreratio_0.2,0.0113,0.7053,0.8478
lfr-n1000-mu1,5,Leiden-LPA-coreratio_0.2,0.01,0.7053,0.8478
lfr-n1000-mu1,6,Leiden-LPA-coreratio_0.2,0.0099,0.7053,0.8478
lfr-n1000-mu1,7,Leiden-LPA-coreratio_0.2,0.0099,0.7053,0.8478
lfr-n1000-mu1,8,Leiden-LPA-coreratio_0.2,0.0099,0.7053,0.8478
lfr-n1000-mu1,9,Leiden-LPA-coreratio_0.2,0.0098,0.7053,0.8478
lfr-n1000-mu1,0,Leiden-LPA-coreratio_0.3,0.0126,0.7378,0.9093
lfr-n1000-mu1,1,Leiden-LPA-coreratio_0.3,0.0129,0.7375,0.9017
lfr-n1000-mu1,2,Leiden-LPA-coreratio_0.3,0.0126,0.7375,0.9017
lfr-n1000-mu1,3,Leiden-LPA-coreratio_0.3,0.0128,0.7375,0.9017
lfr-n1000-mu1,4,Leiden-LPA-coreratio_0.3,0.0128,0.7375,0.9017
lfr-n1000-mu1,5,Leiden-LPA-coreratio_0.3,0.0128,0.7375,0.9017
lfr-n1000-mu1,6,Leiden-LPA-coreratio_0.3,0.0127,0.7375,0.9017
