Graph,Core Ratio,Time (s),Modularity,NMI
lfr-n1000-mu1,0.0,0.0084 (±0.0135),0.0000 (±0.0000),0.0000 (±0.0000)
lfr-n1000-mu1,0.1,0.0073 (±0.0002),0.6693 (±0.0000),0.8009 (±0.0000)
lfr-n1000-mu1,0.2,0.0096 (±0.0003),0.7053 (±0.0000),0.8478 (±0.0000)
lfr-n1000-mu1,0.3,0.0124 (±0.0002),0.7376 (±0.0001),0.9032 (±0.0032)
lfr-n1000-mu1,0.4,0.0170 (±0.0021),0.7473 (±0.0000),0.9144 (±0.0003)
lfr-n1000-mu1,0.5,0.0192 (±0.0004),0.7491 (±0.0000),0.9271 (±0.0001)
lfr-n1000-mu1,0.6,0.0232 (±0.0006),0.7526 (±0.0005),0.9436 (±0.0015)
lfr-n1000-mu1,0.7,0.0268 (±0.0006),0.7554 (±0.0001),0.9540 (±0.0008)
lfr-n1000-mu1,0.8,0.0303 (±0.0004),0.7564 (±0.0004),0.9627 (±0.0039)
lfr-n1000-mu1,0.9,0.0349 (±0.0009),0.7581 (±0.0003),0.9649 (±0.0028)
lfr-n1000-mu1,1.0,0.0385 (±0.0013),0.7586 (±0.0000),0.9719 (±0.0005)
lfr-n1000-mu3,0.0,0.0033 (±0.0001),0.0000 (±0.0000),0.0000 (±0.0000)
lfr-n1000-mu3,0.1,0.0065 (±0.0001),0.4508 (±0.0059),0.5387 (±0.0148)
lfr-n1000-mu3,0.2,0.0093 (±0.0002),0.4733 (±0.0095),0.5721 (±0.0194)
lfr-n1000-mu3,0.3,0.0184 (±0.0174),0.5081 (±0.0044),0.6683 (±0.0126)
lfr-n1000-mu3,0.4,0.0162 (±0.0005),0.5230 (±0.0018),0.7040 (±0.0099)
lfr-n1000-mu3,0.5,0.0204 (±0.0004),0.5391 (±0.0013),0.7571 (±0.0075)
lfr-n1000-mu3,0.6,0.0246 (±0.0002),0.5490 (±0.0016),0.8042 (±0.0094)
lfr-n1000-mu3,0.7,0.0279 (±0.0003),0.5566 (±0.0018),0.8231 (±0.0141)
lfr-n1000-mu3,0.8,0.0322 (±0.0010),0.5614 (±0.0007),0.8548 (±0.0080)
lfr-n1000-mu3,0.9,0.0361 (±0.0006),0.5634 (±0.0004),0.8652 (±0.0082)
lfr-n1000-mu3,1.0,0.0417 (±0.0030),0.5658 (±0.0007),0.8822 (±0.0110)
lfr-n1000-mu5,0.0,0.0044 (±0.0003),0.0000 (±0.0000),0.0000 (±0.0000)
lfr-n1000-mu5,0.1,0.0088 (±0.0007),0.2550 (±0.0140),0.2190 (±0.0117)
lfr-n1000-mu5,0.2,0.0125 (±0.0004),0.2798 (±0.0069),0.2817 (±0.0208)
lfr-n1000-mu5,0.3,0.0168 (±0.0005),0.2887 (±0.0044),0.3028 (±0.0180)
lfr-n1000-mu5,0.4,0.0222 (±0.0007),0.2958 (±0.0045),0.3371 (±0.0200)
lfr-n1000-mu5,0.5,0.0277 (±0.0008),0.3082 (±0.0036),0.3533 (±0.0222)
lfr-n1000-mu5,0.6,0.0384 (±0.0127),0.3138 (±0.0039),0.3831 (±0.0123)
lfr-n1000-mu5,0.7,0.0401 (±0.0011),0.3177 (±0.0034),0.3999 (±0.0138)
lfr-n1000-mu5,0.8,0.0465 (±0.0021),0.3241 (±0.0018),0.3848 (±0.0223)
lfr-n1000-mu5,0.9,0.0565 (±0.0143),0.3268 (±0.0046),0.4079 (±0.0339)
lfr-n1000-mu5,1.0,0.0574 (±0.0020),0.3290 (±0.0052),0.3833 (±0.0257)
lfr-n10000-mu1,0.0,0.0557 (±0.0025),0.0000 (±0.0000),0.0000 (±0.0000)
lfr-n10000-mu1,0.1,0.0944 (±0.0028),0.7511 (±0.0010),0.9033 (±0.0034)
lfr-n10000-mu1,0.2,0.1432 (±0.0182),0.7713 (±0.0002),0.9360 (±0.0005)
lfr-n10000-mu1,0.3,0.1850 (±0.0231),0.7778 (±0.0003),0.9570 (±0.0020)
lfr-n10000-mu1,0.4,0.2253 (±0.0046),0.7805 (±0.0001),0.9657 (±0.0009)
lfr-n10000-mu1,0.5,0.3160 (±0.0425),0.7810 (±0.0001),0.9742 (±0.0011)
lfr-n10000-mu1,0.6,0.3724 (±0.0315),0.7816 (±0.0000),0.9783 (±0.0006)
lfr-n10000-mu1,0.7,0.4207 (±0.0329),0.7819 (±0.0000),0.9802 (±0.0008)
lfr-n10000-mu1,0.8,0.4604 (±0.0350),0.7821 (±0.0001),0.9815 (±0.0006)
lfr-n10000-mu1,0.9,0.5217 (±0.0418),0.7822 (±0.0000),0.9836 (±0.0010)
lfr-n10000-mu1,1.0,0.6007 (±0.0440),0.7823 (±0.0000),0.9848 (±0.0009)
lfr-n10000-mu3,0.0,0.0503 (±0.0088),0.0000 (±0.0000),0.0000 (±0.0000)
lfr-n10000-mu3,0.1,0.1029 (±0.0107),0.4787 (±0.0028),0.5397 (±0.0100)
lfr-n10000-mu3,0.2,0.1295 (±0.0082),0.5234 (±0.0013),0.6506 (±0.0072)
lfr-n10000-mu3,0.3,0.4822 (±0.8709),0.5562 (±0.0013),0.7261 (±0.0062)
lfr-n10000-mu3,0.4,0.2629 (±0.0230),0.5731 (±0.0011),0.7696 (±0.0074)
lfr-n10000-mu3,0.5,0.2871 (±0.0224),0.5861 (±0.0007),0.8057 (±0.0044)
lfr-n10000-mu3,0.6,0.3520 (±0.0263),0.5960 (±0.0005),0.8381 (±0.0035)
lfr-n10000-mu3,0.7,0.4087 (±0.0270),0.6006 (±0.0003),0.8543 (±0.0029)
lfr-n10000-mu3,0.8,0.4983 (±0.0180),0.6037 (±0.0005),0.8718 (±0.0060)
lfr-n10000-mu3,0.9,0.5498 (±0.0329),0.6069 (±0.0002),0.8929 (±0.0050)
lfr-n10000-mu3,1.0,0.8986 (±0.9031),0.6081 (±0.0003),0.9029 (±0.0043)
lfr-n10000-mu5,0.0,0.0675 (±0.0053),0.0000 (±0.0000),0.0000 (±0.0000)
lfr-n10000-mu5,0.1,0.1289 (±0.0247),0.2671 (±0.0031),0.2063 (±0.0068)
lfr-n10000-mu5,0.2,0.1749 (±0.0202),0.2822 (±0.0039),0.2424 (±0.0069)
lfr-n10000-mu5,0.3,0.2844 (±0.0130),0.2895 (±0.0020),0.2755 (±0.0147)
lfr-n10000-mu5,0.4,0.3121 (±0.0199),0.2976 (±0.0026),0.2890 (±0.0088)
lfr-n10000-mu5,0.5,0.4165 (±0.0303),0.3026 (±0.0029),0.3057 (±0.0128)
lfr-n10000-mu5,0.6,0.4755 (±0.0290),0.3107 (±0.0030),0.3238 (±0.0163)
lfr-n10000-mu5,0.7,0.5780 (±0.0373),0.3157 (±0.0024),0.3374 (±0.0164)
lfr-n10000-mu5,0.8,0.9607 (±0.8792),0.3187 (±0.0033),0.3190 (±0.0186)
lfr-n10000-mu5,0.9,0.7514 (±0.0448),0.3228 (±0.0022),0.3158 (±0.0116)
lfr-n10000-mu5,1.0,0.8302 (±0.0463),0.3255 (±0.0045),0.2989 (±0.0247)
lfr-n120-mu1,0.0,0.0009 (±0.0002),0.0000 (±0.0000),0.0000 (±0.0000)
lfr-n120-mu1,0.1,0.0099 (±0.0271),0.0249 (±0.0000),0.0874 (±0.0000)
lfr-n120-mu1,0.2,0.0018 (±0.0001),0.1273 (±0.0256),0.1404 (±0.0259)
lfr-n120-mu1,0.3,0.0021 (±0.0000),0.1744 (±0.0135),0.1718 (±0.0373)
lfr-n120-mu1,0.4,0.0026 (±0.0001),0.1908 (±0.0219),0.2078 (±0.0278)
lfr-n120-mu1,0.5,0.0031 (±0.0001),0.1987 (±0.0142),0.2063 (±0.0399)
lfr-n120-mu1,0.6,0.0037 (±0.0001),0.2200 (±0.0064),0.2102 (±0.0368)
lfr-n120-mu1,0.7,0.0044 (±0.0002),0.2261 (±0.0065),0.2083 (±0.0278)
lfr-n120-mu1,0.8,0.0054 (±0.0012),0.2358 (±0.0046),0.2184 (±0.0366)
lfr-n120-mu1,0.9,0.0054 (±0.0003),0.2431 (±0.0059),0.1857 (±0.0211)
lfr-n120-mu1,1.0,0.0061 (±0.0002),0.2489 (±0.0057),0.1704 (±0.0168)
lfr-n120-mu3,0.0,0.0009 (±0.0001),0.0000 (±0.0000),0.0000 (±0.0000)
lfr-n120-mu3,0.1,0.0014 (±0.0001),0.2653 (±0.0069),0.2946 (±0.0158)
lfr-n120-mu3,0.2,0.0016 (±0.0000),0.3342 (±0.0000),0.4593 (±0.0000)
lfr-n120-mu3,0.3,0.0020 (±0.0002),0.3803 (±0.0000),0.4556 (±0.0000)
lfr-n120-mu3,0.4,0.0023 (±0.0001),0.4120 (±0.0198),0.6003 (±0.0708)
lfr-n120-mu3,0.5,0.0027 (±0.0001),0.4186 (±0.0035),0.6188 (±0.0183)
lfr-n120-mu3,0.6,0.0031 (±0.0002),0.4353 (±0.0036),0.6548 (±0.0203)
lfr-n120-mu3,0.7,0.0035 (±0.0001),0.4575 (±0.0033),0.7280 (±0.0234)
lfr-n120-mu3,0.8,0.0038 (±0.0001),0.4716 (±0.0019),0.8139 (±0.0051)
lfr-n120-mu3,0.9,0.0044 (±0.0003),0.4725 (±0.0016),0.8168 (±0.0166)
lfr-n120-mu3,1.0,0.0049 (±0.0002),0.4758 (±0.0005),0.8505 (±0.0123)
lfr-n120-mu5,0.0,0.0008 (±0.0000),0.0000 (±0.0000),0.0000 (±0.0000)
lfr-n120-mu5,0.1,0.0013 (±0.0001),0.1207 (±0.0341),0.1013 (±0.0071)
lfr-n120-mu5,0.2,0.0017 (±0.0001),0.1904 (±0.0096),0.1292 (±0.0409)
lfr-n120-mu5,0.3,0.0021 (±0.0001),0.2283 (±0.0131),0.1753 (±0.0233)
