Graph,Repeat,Algorithm,Time (s),Modularity,NMI
com-dblp,0,Leiden-LPA,22.3557,0.8217,0.396
com-dblp,0,Leiden,78.3396,0.8299,0.4134
com-dblp,1,Leiden-LPA,22.2811,0.8218,0.3961
com-dblp,1,Leiden,76.4847,0.8304,0.4153
com-dblp,2,Leiden-LPA,21.601,0.8226,0.3981
com-dblp,2,Leiden,75.571,0.8329,0.4158
com-dblp,3,Leiden-LPA,20.4075,0.8233,0.4004
com-dblp,3,Leiden,74.0849,0.8302,0.4124
com-dblp,4,Leiden-LPA,20.4669,0.8242,0.3987
com-dblp,4,Leiden,74.586,0.8321,0.416
com-youtube,0,Leiden-LPA,391.9251,0.7182,0.4257
com-youtube,0,Leiden,1282.8546,0.7315,0.4639
com-youtube,1,Leiden-LPA,413.6176,0.71,0.4262
com-youtube,1,Leiden,1314.376,0.7317,0.4635
com-youtube,2,Leiden-LPA,393.2314,0.717,0.4263
com-youtube,2,Leiden,1298.1496,0.7286,0.4622
com-youtube,3,Leiden-LPA,314.3899,0.7204,0.4204
com-youtube,3,Leiden,1386.9058,0.7263,0.4622
com-youtube,4,Leiden-LPA,370.1722,0.7176,0.4196
com-youtube,4,Leiden,1258.528,0.7313,0.4546
email-Eu-core,0,Leiden-LPA,0.0653,0.4213,0.4927
email-Eu-core,0,Leiden,0.0619,0.4327,0.5836
email-Eu-core,1,Leiden-LPA,0.0582,0.4228,0.4902
email-Eu-core,1,Leiden,0.0586,0.432,0.6021
email-Eu-core,2,Leiden-LPA,0.0571,0.4235,0.4945
email-Eu-core,2,Leiden,0.0563,0.4339,0.5963
email-Eu-core,3,Leiden-LPA,0.0568,0.4213,0.4927
email-Eu-core,3,Leiden,0.0492,0.4331,0.5663
email-Eu-core,4,Leiden-LPA,0.0542,0.4211,0.4922
email-Eu-core,4,Leiden,0.0578,0.4322,0.5977
karate,0,Leiden-LPA,0.0012,0.3807,0.5866
karate,0,Leiden,0.0007,0.4198,0.5878
karate,1,Leiden-LPA,0.0011,0.3807,0.5866
karate,1,Leiden,0.0007,0.4198,0.5878
karate,2,Leiden-LPA,0.0011,0.3807,0.5866
karate,2,Leiden,0.0008,0.4198,0.5878
karate,3,Leiden-LPA,0.0011,0.3807,0.5866
karate,3,Leiden,0.0011,0.4198,0.5878
karate,4,Leiden-LPA,0.0013,0.3807,0.5866
karate,4,Leiden,0.0007,0.4198,0.5878
