Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n1000-mu1,0,Leiden-LPA-coreratio_0.2,0.0133,0.7299,0.8738
lfr-n1000-mu1,1,Leiden-LPA-coreratio_0.2,0.0124,0.7299,0.8738
lfr-n1000-mu1,2,Leiden-LPA-coreratio_0.2,0.0122,0.7299,0.8738
lfr-n1000-mu1,3,Leiden-LPA-coreratio_0.2,0.0123,0.7299,0.8738
lfr-n1000-mu1,4,Leiden-LPA-coreratio_0.2,0.0121,0.7299,0.8738
lfr-n1000-mu1,5,Leiden-LPA-coreratio_0.2,0.0121,0.7299,0.8738
lfr-n1000-mu1,6,Leiden-LPA-coreratio_0.2,0.0122,0.7299,0.8738
lfr-n1000-mu1,7,Leiden-LPA-coreratio_0.2,0.0121,0.7299,0.8738
lfr-n1000-mu1,8,Leiden-LPA-coreratio_0.2,0.0122,0.7299,0.8738
lfr-n1000-mu1,9,Leiden-LPA-coreratio_0.2,0.012,0.7299,0.8738
lfr-n1000-mu1,0,Leiden-LPA-coreratio_0.4,0.0181,0.7479,0.9176
lfr-n1000-mu1,1,Leiden-LPA-coreratio_0.4,0.0183,0.7479,0.9176
lfr-n1000-mu1,2,Leiden-LPA-coreratio_0.4,0.0181,0.7479,0.9176
lfr-n1000-mu1,3,Leiden-LPA-coreratio_0.4,0.0179,0.7479,0.9176
lfr-n1000-mu1,4,Leiden-LPA-coreratio_0.4,0.0181,0.7479,0.9176
lfr-n1000-mu1,5,Leiden-LPA-coreratio_0.4,0.0181,0.7479,0.9176
lfr-n1000-mu1,6,Leiden-LPA-coreratio_0.4,0.0182,0.7479,0.9176
lfr-n1000-mu1,7,Leiden-LPA-coreratio_0.4,0.0178,0.7479,0.9176
lfr-n1000-mu1,8,Leiden-LPA-coreratio_0.4,0.0181,0.7479,0.9176
lfr-n1000-mu1,9,Leiden-LPA-coreratio_0.4,0.0179,0.7479,0.9176
lfr-n1000-mu1,0,Leiden-LPA-coreratio_0.6,0.0247,0.7533,0.9448
lfr-n1000-mu1,1,Leiden-LPA-coreratio_0.6,0.0244,0.7531,0.9439
lfr-n1000-mu1,2,Leiden-LPA-coreratio_0.6,0.0242,0.7533,0.9448
lfr-n1000-mu1,3,Leiden-LPA-coreratio_0.6,0.0245,0.7533,0.9448
lfr-n1000-mu1,4,Leiden-LPA-coreratio_0.6,0.0249,0.7533,0.9448
lfr-n1000-mu1,5,Leiden-LPA-coreratio_0.6,0.0242,0.7533,0.9448
lfr-n1000-mu1,6,Leiden-LPA-coreratio_0.6,0.0246,0.7533,0.9448
lfr-n1000-mu1,7,Leiden-LPA-coreratio_0.6,0.024,0.7533,0.9448
lfr-n1000-mu1,8,Leiden-LPA-coreratio_0.6,0.0239,0.7528,0.946
lfr-n1000-mu1,9,Leiden-LPA-coreratio_0.6,0.0242,0.7533,0.9448
lfr-n1000-mu1,0,Leiden-LPA-coreratio_0.8,0.0332,0.7561,0.9565
lfr-n1000-mu1,1,Leiden-LPA-coreratio_0.8,0.0324,0.756,0.9545
lfr-n1000-mu1,2,Leiden-LPA-coreratio_0.8,0.0321,0.7559,0.9511
lfr-n1000-mu1,3,Leiden-LPA-coreratio_0.8,0.0321,0.7561,0.9565
lfr-n1000-mu1,4,Leiden-LPA-coreratio_0.8,0.0334,0.7559,0.9511
lfr-n1000-mu1,5,Leiden-LPA-coreratio_0.8,0.0315,0.756,0.9532
lfr-n1000-mu1,6,Leiden-LPA-coreratio_0.8,0.0333,0.756,0.9545
lfr-n1000-mu1,7,Leiden-LPA-coreratio_0.8,0.0326,0.7564,0.9533
lfr-n1000-mu1,8,Leiden-LPA-coreratio_0.8,0.0327,0.756,0.9545
lfr-n1000-mu1,9,Leiden-LPA-coreratio_0.8,0.0332,0.756,0.9545
lfr-n1000-mu1,0,Leiden-LPA-coreratio_1.0,0.0294,0.7586,0.9716
lfr-n1000-mu1,1,Leiden-LPA-coreratio_1.0,0.0285,0.7586,0.9726
lfr-n1000-mu1,2,Leiden-LPA-coreratio_1.0,0.0283,0.7586,0.9716
lfr-n1000-mu1,3,Leiden-LPA-coreratio_1.0,0.0309,0.7586,0.9716
lfr-n1000-mu1,4,Leiden-LPA-coreratio_1.0,0.0291,0.7586,0.9716
lfr-n1000-mu1,5,Leiden-LPA-coreratio_1.0,0.0294,0.7586,0.9716
lfr-n1000-mu1,6,Leiden-LPA-coreratio_1.0,0.0291,0.7586,0.9716
lfr-n1000-mu1,7,Leiden-LPA-coreratio_1.0,0.0296,0.7586,0.9726
lfr-n1000-mu1,8,Leiden-LPA-coreratio_1.0,0.0292,0.7586,0.9716
lfr-n1000-mu1,9,Leiden-LPA-coreratio_1.0,0.0293,0.7586,0.9726
lfr-n1000-mu3,0,Leiden-LPA-coreratio_0.2,0.0167,0.5103,0.6552
lfr-n1000-mu3,1,Leiden-LPA-coreratio_0.2,0.0156,0.4986,0.6073
lfr-n1000-mu3,2,Leiden-LPA-coreratio_0.2,0.0155,0.4974,0.6395
lfr-n1000-mu3,3,Leiden-LPA-coreratio_0.2,0.0154,0.497,0.6294
lfr-n1000-mu3,4,Leiden-LPA-coreratio_0.2,0.0149,0.4933,0.6127
lfr-n1000-mu3,5,Leiden-LPA-coreratio_0.2,0.0134,0.4987,0.644
lfr-n1000-mu3,6,Leiden-LPA-coreratio_0.2,0.0123,0.5018,0.6275
lfr-n1000-mu3,7,Leiden-LPA-coreratio_0.2,0.015,0.5046,0.6445
lfr-n1000-mu3,8,Leiden-LPA-coreratio_0.2,0.0151,0.5061,0.6603
lfr-n1000-mu3,9,Leiden-LPA-coreratio_0.2,0.0134,0.4996,0.6442
lfr-n1000-mu3,0,Leiden-LPA-coreratio_0.4,0.0194,0.53,0.7147
lfr-n1000-mu3,1,Leiden-LPA-coreratio_0.4,0.0191,0.5387,0.7398
lfr-n1000-mu3,2,Leiden-LPA-coreratio_0.4,0.0189,0.5404,0.7616
lfr-n1000-mu3,3,Leiden-LPA-coreratio_0.4,0.019,0.5263,0.7152
lfr-n1000-mu3,4,Leiden-LPA-coreratio_0.4,0.019,0.539,0.7553
lfr-n1000-mu3,5,Leiden-LPA-coreratio_0.4,0.0187,0.5344,0.7174
lfr-n1000-mu3,6,Leiden-LPA-coreratio_0.4,0.0188,0.5327,0.7271
lfr-n1000-mu3,7,Leiden-LPA-coreratio_0.4,0.019,0.5405,0.7582
lfr-n1000-mu3,8,Leiden-LPA-coreratio_0.4,0.0188,0.5367,0.753
lfr-n1000-mu3,9,Leiden-LPA-coreratio_0.4,0.0195,0.5326,0.7255
lfr-n1000-mu3,0,Leiden-LPA-coreratio_0.6,0.0291,0.551,0.8025
lfr-n1000-mu3,1,Leiden-LPA-coreratio_0.6,0.0282,0.5505,0.7986
lfr-n1000-mu3,2,Leiden-LPA-coreratio_0.6,0.0282,0.5499,0.8035
lfr-n1000-mu3,3,Leiden-LPA-coreratio_0.6,0.0282,0.5491,0.8044
lfr-n1000-mu3,4,Leiden-LPA-coreratio_0.6,0.0273,0.5377,0.7732
lfr-n1000-mu3,5,Leiden-LPA-coreratio_0.6,0.0273,0.5507,0.7978
lfr-n1000-mu3,6,Leiden-LPA-coreratio_0.6,0.0277,0.55,0.8148
lfr-n1000-mu3,7,Leiden-LPA-coreratio_0.6,0.0274,0.5518,0.8046
lfr-n1000-mu3,8,Leiden-LPA-coreratio_0.6,0.0267,0.5499,0.8003
lfr-n1000-mu3,9,Leiden-LPA-coreratio_0.6,0.0278,0.5456,0.7902
lfr-n1000-mu3,0,Leiden-LPA-coreratio_0.8,0.0359,0.5614,0.8458
lfr-n1000-mu3,1,Leiden-LPA-coreratio_0.8,0.0397,0.5625,0.8534
lfr-n1000-mu3,2,Leiden-LPA-coreratio_0.8,0.0377,0.5637,0.8684
lfr-n1000-mu3,3,Leiden-LPA-coreratio_0.8,0.0361,0.5622,0.8599
lfr-n1000-mu3,4,Leiden-LPA-coreratio_0.8,0.0364,0.5635,0.8553
lfr-n1000-mu3,5,Leiden-LPA-coreratio_0.8,0.0356,0.5623,0.8616
lfr-n1000-mu3,6,Leiden-LPA-coreratio_0.8,0.0354,0.5633,0.8521
lfr-n1000-mu3,7,Leiden-LPA-coreratio_0.8,0.0358,0.5632,0.8551
lfr-n1000-mu3,8,Leiden-LPA-coreratio_0.8,0.036,0.5625,0.8571
lfr-n1000-mu3,9,Leiden-LPA-coreratio_0.8,0.0393,0.5619,0.8582
lfr-n1000-mu3,0,Leiden-LPA-coreratio_1.0,0.0356,0.5662,0.8801
lfr-n1000-mu3,1,Leiden-LPA-coreratio_1.0,0.0353,0.5659,0.8832
lfr-n1000-mu3,2,Leiden-LPA-coreratio_1.0,0.0358,0.5656,0.8899
lfr-n1000-mu3,3,Leiden-LPA-coreratio_1.0,0.0351,0.5646,0.8599
lfr-n1000-mu3,4,Leiden-LPA-coreratio_1.0,0.0357,0.5663,0.894
lfr-n1000-mu3,5,Leiden-LPA-coreratio_1.0,0.0347,0.5664,0.8742
lfr-n1000-mu3,6,Leiden-LPA-coreratio_1.0,0.0353,0.5667,0.8742
lfr-n1000-mu3,7,Leiden-LPA-coreratio_1.0,0.0359,0.5658,0.8953
lfr-n1000-mu3,8,Leiden-LPA-coreratio_1.0,0.0391,0.5653,0.8792
lfr-n1000-mu3,9,Leiden-LPA-coreratio_1.0,0.034,0.5651,0.8916
lfr-n1000-mu5,0,Leiden-LPA-coreratio_0.2,0.0193,0.2904,0.2846
lfr-n1000-mu5,1,Leiden-LPA-coreratio_0.2,0.0244,0.1247,0.2282
lfr-n1000-mu5,2,Leiden-LPA-coreratio_0.2,0.0247,0.1368,0.1949
lfr-n1000-mu5,3,Leiden-LPA-coreratio_0.2,0.0178,0.2932,0.2914
lfr-n1000-mu5,4,Leiden-LPA-coreratio_0.2,0.0252,0.2556,0.2582
lfr-n1000-mu5,5,Leiden-LPA-coreratio_0.2,0.0228,0.1122,0.2063
lfr-n1000-mu5,6,Leiden-LPA-coreratio_0.2,0.023,0.2677,0.2449
lfr-n1000-mu5,7,Leiden-LPA-coreratio_0.2,-1.3826,0.2911,0.2604
lfr-n1000-mu5,8,Leiden-LPA-coreratio_0.2,0.0218,0.2945,0.2866
lfr-n1000-mu5,9,Leiden-LPA-coreratio_0.2,0.0248,0.1203,0.2254
lfr-n1000-mu5,0,Leiden-LPA-coreratio_0.4,0.026,0.299,0.3453
lfr-n1000-mu5,1,Leiden-LPA-coreratio_0.4,0.027,0.2974,0.324
lfr-n1000-mu5,2,Leiden-LPA-coreratio_0.4,0.0282,0.3043,0.3672
lfr-n1000-mu5,3,Leiden-LPA-coreratio_0.4,0.0274,0.3048,0.3577
lfr-n1000-mu5,4,Leiden-LPA-coreratio_0.4,0.0257,0.2989,0.3145
lfr-n1000-mu5,5,Leiden-LPA-coreratio_0.4,0.0276,0.3039,0.3577
lfr-n1000-mu5,6,Leiden-LPA-coreratio_0.4,0.0277,0.3043,0.3436
lfr-n1000-mu5,7,Leiden-LPA-coreratio_0.4,0.0258,0.2905,0.3303
lfr-n1000-mu5,8,Leiden-LPA-coreratio_0.4,0.0257,0.3076,0.3574
lfr-n1000-mu5,9,Leiden-LPA-coreratio_0.4,0.0271,0.3057,0.3424
lfr-n1000-mu5,0,Leiden-LPA-coreratio_0.6,0.0378,0.3134,0.3443
lfr-n1000-mu5,1,Leiden-LPA-coreratio_0.6,0.0384,0.3105,0.3539
lfr-n1000-mu5,2,Leiden-LPA-coreratio_0.6,0.0361,0.3225,0.3838
lfr-n1000-mu5,3,Leiden-LPA-coreratio_0.6,0.0379,0.312,0.3823
lfr-n1000-mu5,4,Leiden-LPA-coreratio_0.6,0.038,0.3119,0.3676
lfr-n1000-mu5,5,Leiden-LPA-coreratio_0.6,0.0373,0.3117,0.382
lfr-n1000-mu5,6,Leiden-LPA-coreratio_0.6,0.0383,0.3172,0.3651
lfr-n1000-mu5,7,Leiden-LPA-coreratio_0.6,0.0388,0.3154,0.3561
lfr-n1000-mu5,8,Leiden-LPA-coreratio_0.6,0.0365,0.313,0.3644
lfr-n1000-mu5,9,Leiden-LPA-coreratio_0.6,0.0383,0.3176,0.3578
lfr-n1000-mu5,0,Leiden-LPA-coreratio_0.8,0.0504,0.3241,0.4018
lfr-n1000-mu5,1,Leiden-LPA-coreratio_0.8,0.0538,0.3209,0.4028
lfr-n1000-mu5,2,Leiden-LPA-coreratio_0.8,0.0492,0.3223,0.4064
lfr-n1000-mu5,3,Leiden-LPA-coreratio_0.8,0.0525,0.3226,0.3629
lfr-n1000-mu5,4,Leiden-LPA-coreratio_0.8,0.0507,0.3282,0.4036
lfr-n1000-mu5,5,Leiden-LPA-coreratio_0.8,0.0514,0.315,0.4
lfr-n1000-mu5,6,Leiden-LPA-coreratio_0.8,0.0558,0.3238,0.3744
lfr-n1000-mu5,7,Leiden-LPA-coreratio_0.8,0.0599,0.328,0.4046
lfr-n1000-mu5,8,Leiden-LPA-coreratio_0.8,0.0481,0.3297,0.4136
lfr-n1000-mu5,9,Leiden-LPA-coreratio_0.8,0.051,0.3228,0.3925
lfr-n1000-mu5,0,Leiden-LPA-coreratio_1.0,0.0483,0.3352,0.4069
lfr-n1000-mu5,1,Leiden-LPA-coreratio_1.0,0.052,0.3282,0.3919
lfr-n1000-mu5,2,Leiden-LPA-coreratio_1.0,0.0492,0.3271,0.3818
lfr-n1000-mu5,3,Leiden-LPA-coreratio_1.0,0.0509,0.332,0.4106
