Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n1000-mu1,0,Leiden-LPA-v1,0.0699,0.7586,0.9716
lfr-n1000-mu1,0,Leiden,0.0291,0.7586,0.9716
lfr-n1000-mu1,1,Leiden-LPA-v1,0.0285,0.7586,0.9726
lfr-n1000-mu1,1,Leiden,0.0284,0.7586,0.9726
lfr-n1000-mu1,2,Leiden-LPA-v1,0.0284,0.7586,0.9716
lfr-n1000-mu1,2,Leiden,0.0279,0.7586,0.9716
lfr-n1000-mu1,3,Leiden-LPA-v1,0.0318,0.7586,0.9716
lfr-n1000-mu1,3,Leiden,0.0307,0.7586,0.9716
lfr-n1000-mu1,4,Leiden-LPA-v1,0.029,0.7586,0.9716
lfr-n1000-mu1,4,Leiden,0.0288,0.7586,0.9716
lfr-n1000-mu1,5,Leiden-LPA-v1,0.0293,0.7586,0.9716
lfr-n1000-mu1,5,Leiden,0.029,0.7586,0.9716
lfr-n1000-mu1,6,Leiden-LPA-v1,0.0295,0.7586,0.9716
lfr-n1000-mu1,6,Leiden,0.03,0.7586,0.9716
lfr-n1000-mu1,7,Leiden-LPA-v1,0.0304,0.7586,0.9726
lfr-n1000-mu1,7,Leiden,0.0295,0.7586,0.9726
lfr-n1000-mu1,8,Leiden-LPA-v1,0.03,0.7586,0.9716
lfr-n1000-mu1,8,Leiden,0.0292,0.7586,0.9716
lfr-n1000-mu1,9,Leiden-LPA-v1,0.0295,0.7586,0.9726
lfr-n1000-mu1,9,Leiden,0.0291,0.7586,0.9726
lfr-n1000-mu3,0,Leiden-LPA-v1,0.0355,0.5662,0.8801
lfr-n1000-mu3,0,Leiden,0.0345,0.5662,0.8801
lfr-n1000-mu3,1,Leiden-LPA-v1,0.0357,0.5659,0.8832
lfr-n1000-mu3,1,Leiden,0.0349,0.5659,0.8832
lfr-n1000-mu3,2,Leiden-LPA-v1,0.036,0.5656,0.8899
lfr-n1000-mu3,2,Leiden,0.0361,0.5656,0.8899
lfr-n1000-mu3,3,Leiden-LPA-v1,0.0347,0.5646,0.8599
lfr-n1000-mu3,3,Leiden,0.0348,0.5646,0.8599
lfr-n1000-mu3,4,Leiden-LPA-v1,0.035,0.5663,0.894
lfr-n1000-mu3,4,Leiden,0.0356,0.5663,0.894
lfr-n1000-mu3,5,Leiden-LPA-v1,0.0359,0.5664,0.8742
lfr-n1000-mu3,5,Leiden,0.035,0.5664,0.8742
lfr-n1000-mu3,6,Leiden-LPA-v1,0.0355,0.5667,0.8742
lfr-n1000-mu3,6,Leiden,0.0352,0.5667,0.8742
lfr-n1000-mu3,7,Leiden-LPA-v1,0.0348,0.5658,0.8953
lfr-n1000-mu3,7,Leiden,0.0344,0.5658,0.8953
lfr-n1000-mu3,8,Leiden-LPA-v1,0.0348,0.5653,0.8792
lfr-n1000-mu3,8,Leiden,0.0345,0.5653,0.8792
lfr-n1000-mu3,9,Leiden-LPA-v1,0.035,0.5651,0.8916
lfr-n1000-mu3,9,Leiden,0.0338,0.5651,0.8916
lfr-n1000-mu5,0,Leiden-LPA-v1,0.0509,0.3352,0.4069
lfr-n1000-mu5,0,Leiden,0.0503,0.3352,0.4069
lfr-n1000-mu5,1,Leiden-LPA-v1,0.0525,0.3282,0.3919
lfr-n1000-mu5,1,Leiden,0.0524,0.3282,0.3919
lfr-n1000-mu5,2,Leiden-LPA-v1,0.0506,0.3271,0.3818
lfr-n1000-mu5,2,Leiden,0.0497,0.3271,0.3818
lfr-n1000-mu5,3,Leiden-LPA-v1,0.0516,0.332,0.4106
lfr-n1000-mu5,3,Leiden,0.0511,0.332,0.4106
lfr-n1000-mu5,4,Leiden-LPA-v1,0.0497,0.3278,0.3838
lfr-n1000-mu5,4,Leiden,0.049,0.3278,0.3838
lfr-n1000-mu5,5,Leiden-LPA-v1,0.0491,0.3292,0.3841
lfr-n1000-mu5,5,Leiden,0.0497,0.3292,0.3841
lfr-n1000-mu5,6,Leiden-LPA-v1,0.0554,0.3248,0.3743
lfr-n1000-mu5,6,Leiden,0.0553,0.3248,0.3743
lfr-n1000-mu5,7,Leiden-LPA-v1,0.0497,0.3343,0.4077
lfr-n1000-mu5,7,Leiden,0.0499,0.3343,0.4077
lfr-n1000-mu5,8,Leiden-LPA-v1,0.0538,0.318,0.3224
lfr-n1000-mu5,8,Leiden,0.0538,0.318,0.3224
lfr-n1000-mu5,9,Leiden-LPA-v1,0.0512,0.3334,0.3696
lfr-n1000-mu5,9,Leiden,0.0516,0.3334,0.3696
lfr-n10000-mu1,0,Leiden-LPA-v1,0.4745,0.7823,0.9852
lfr-n10000-mu1,0,Leiden,0.4545,0.7823,0.9852
lfr-n10000-mu1,1,Leiden-LPA-v1,0.469,0.7823,0.985
lfr-n10000-mu1,1,Leiden,0.4617,0.7823,0.985
lfr-n10000-mu1,2,Leiden-LPA-v1,0.4779,0.7823,0.9841
lfr-n10000-mu1,2,Leiden,0.4728,0.7823,0.9841
lfr-n10000-mu1,3,Leiden-LPA-v1,0.4694,0.7823,0.9842
lfr-n10000-mu1,3,Leiden,0.4633,0.7823,0.9842
lfr-n10000-mu1,4,Leiden-LPA-v1,0.4986,0.7823,0.9866
lfr-n10000-mu1,4,Leiden,0.5098,0.7823,0.9866
lfr-n10000-mu1,5,Leiden-LPA-v1,0.4748,0.7823,0.9844
lfr-n10000-mu1,5,Leiden,0.4706,0.7823,0.9844
lfr-n10000-mu1,6,Leiden-LPA-v1,0.5033,0.7823,0.9854
lfr-n10000-mu1,6,Leiden,0.4894,0.7823,0.9854
lfr-n10000-mu1,7,Leiden-LPA-v1,0.5057,0.7823,0.9853
lfr-n10000-mu1,7,Leiden,0.482,0.7823,0.9853
lfr-n10000-mu1,8,Leiden-LPA-v1,0.5055,0.7823,0.9835
lfr-n10000-mu1,8,Leiden,0.4739,0.7823,0.9835
lfr-n10000-mu1,9,Leiden-LPA-v1,0.505,0.7823,0.9844
lfr-n10000-mu1,9,Leiden,0.5048,0.7823,0.9844
lfr-n10000-mu3,0,Leiden-LPA-v1,0.5474,0.6074,0.8944
lfr-n10000-mu3,0,Leiden,0.5507,0.6074,0.8944
lfr-n10000-mu3,1,Leiden-LPA-v1,0.5343,0.6081,0.9061
lfr-n10000-mu3,1,Leiden,0.5475,0.6081,0.9061
lfr-n10000-mu3,2,Leiden-LPA-v1,0.5442,0.6085,0.9067
lfr-n10000-mu3,2,Leiden,0.5336,0.6085,0.9067
lfr-n10000-mu3,3,Leiden-LPA-v1,0.5561,0.6081,0.9026
lfr-n10000-mu3,3,Leiden,0.526,0.6081,0.9026
lfr-n10000-mu3,4,Leiden-LPA-v1,0.5164,0.6082,0.8968
lfr-n10000-mu3,4,Leiden,0.5347,0.6082,0.8968
lfr-n10000-mu3,5,Leiden-LPA-v1,0.5185,0.6082,0.9043
lfr-n10000-mu3,5,Leiden,0.5191,0.6082,0.9043
lfr-n10000-mu3,6,Leiden-LPA-v1,0.5278,0.6084,0.9051
lfr-n10000-mu3,6,Leiden,0.5193,0.6084,0.9051
lfr-n10000-mu3,7,Leiden-LPA-v1,0.5408,0.6081,0.9038
lfr-n10000-mu3,7,Leiden,0.5187,0.6081,0.9038
lfr-n10000-mu3,8,Leiden-LPA-v1,0.5376,0.6083,0.9077
lfr-n10000-mu3,8,Leiden,0.5191,0.6083,0.9077
lfr-n10000-mu3,9,Leiden-LPA-v1,0.5278,0.6082,0.9012
lfr-n10000-mu3,9,Leiden,0.5216,0.6082,0.9012
lfr-n10000-mu5,0,Leiden-LPA-v1,0.7428,0.3248,0.2927
lfr-n10000-mu5,0,Leiden,0.7568,0.3248,0.2927
lfr-n10000-mu5,1,Leiden-LPA-v1,-0.7927,0.3191,0.2601
lfr-n10000-mu5,1,Leiden,0.7465,0.3191,0.2601
lfr-n10000-mu5,2,Leiden-LPA-v1,0.7341,0.3286,0.3191
lfr-n10000-mu5,2,Leiden,0.723,0.3286,0.3191
lfr-n10000-mu5,3,Leiden-LPA-v1,0.727,0.3177,0.2716
lfr-n10000-mu5,3,Leiden,0.7311,0.3177,0.2716
lfr-n10000-mu5,4,Leiden-LPA-v1,0.7676,0.3324,0.3437
lfr-n10000-mu5,4,Leiden,0.7664,0.3324,0.3437
lfr-n10000-mu5,5,Leiden-LPA-v1,0.8015,0.3235,0.2772
lfr-n10000-mu5,5,Leiden,0.7712,0.3235,0.2772
lfr-n10000-mu5,6,Leiden-LPA-v1,0.7194,0.3248,0.2972
lfr-n10000-mu5,6,Leiden,0.7303,0.3248,0.2972
lfr-n10000-mu5,7,Leiden-LPA-v1,0.7358,0.3279,0.3075
lfr-n10000-mu5,7,Leiden,0.7395,0.3279,0.3075
lfr-n10000-mu5,8,Leiden-LPA-v1,0.7038,0.3294,0.3106
lfr-n10000-mu5,8,Leiden,0.7043,0.3294,0.3106
lfr-n10000-mu5,9,Leiden-LPA-v1,0.7665,0.3266,0.3094
lfr-n10000-mu5,9,Leiden,0.701,0.3266,0.3094
lfr-n120-mu1,0,Leiden-LPA-v1,0.0056,0.2492,0.1857
lfr-n120-mu1,0,Leiden,0.0052,0.2492,0.1857
lfr-n120-mu1,1,Leiden-LPA-v1,0.005,0.2472,0.1493
lfr-n120-mu1,1,Leiden,0.0049,0.2472,0.1493
lfr-n120-mu1,2,Leiden-LPA-v1,0.0047,0.2556,0.1658
lfr-n120-mu1,2,Leiden,0.0047,0.2556,0.1658
lfr-n120-mu1,3,Leiden-LPA-v1,0.0048,0.2562,0.1872
lfr-n120-mu1,3,Leiden,0.0047,0.2562,0.1872
lfr-n120-mu1,4,Leiden-LPA-v1,0.0043,0.2461,0.1923
lfr-n120-mu1,4,Leiden,0.0047,0.2461,0.1923
lfr-n120-mu1,5,Leiden-LPA-v1,0.0049,0.2424,0.1606
lfr-n120-mu1,5,Leiden,0.0049,0.2424,0.1606
lfr-n120-mu1,6,Leiden-LPA-v1,0.0047,0.2528,0.1555
lfr-n120-mu1,6,Leiden,0.0046,0.2528,0.1555
