Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n1000-mu1,0,Leiden-LPA-v4,0.0597,0.7237,0.875
lfr-n1000-mu1,0,Leiden,0.0298,0.7586,0.9716
lfr-n1000-mu1,1,Leiden-LPA-v4,0.018,0.7237,0.875
lfr-n1000-mu1,1,Leiden,0.0284,0.7586,0.9726
lfr-n1000-mu1,2,Leiden-LPA-v4,0.0176,0.7237,0.875
lfr-n1000-mu1,2,Leiden,0.0279,0.7586,0.9716
lfr-n1000-mu1,3,Leiden-LPA-v4,0.0174,0.7237,0.875
lfr-n1000-mu1,3,Leiden,0.0309,0.7586,0.9716
lfr-n1000-mu1,4,Leiden-LPA-v4,0.0175,0.7237,0.875
lfr-n1000-mu1,4,Leiden,0.0284,0.7586,0.9716
lfr-n1000-mu1,5,Leiden-LPA-v4,0.0172,0.7237,0.875
lfr-n1000-mu1,5,Leiden,0.0286,0.7586,0.9716
lfr-n1000-mu1,6,Leiden-LPA-v4,0.0171,0.7237,0.875
lfr-n1000-mu1,6,Leiden,0.0286,0.7586,0.9716
lfr-n1000-mu1,7,Leiden-LPA-v4,0.0171,0.7237,0.875
lfr-n1000-mu1,7,Leiden,0.0289,0.7586,0.9726
lfr-n1000-mu1,8,Leiden-LPA-v4,0.0176,0.7237,0.875
lfr-n1000-mu1,8,Leiden,0.0285,0.7586,0.9716
lfr-n1000-mu1,9,Leiden-LPA-v4,0.0172,0.7237,0.875
lfr-n1000-mu1,9,Leiden,0.0285,0.7586,0.9726
lfr-n1000-mu3,0,Leiden-LPA-v4,0.0157,0.4995,0.6638
lfr-n1000-mu3,0,Leiden,0.0343,0.5662,0.8801
lfr-n1000-mu3,1,Leiden-LPA-v4,0.0188,0.5074,0.6663
lfr-n1000-mu3,1,Leiden,0.0346,0.5659,0.8832
lfr-n1000-mu3,2,Leiden-LPA-v4,0.0169,0.5036,0.662
lfr-n1000-mu3,2,Leiden,0.0351,0.5656,0.8899
lfr-n1000-mu3,3,Leiden-LPA-v4,0.0168,0.4951,0.6344
lfr-n1000-mu3,3,Leiden,0.0339,0.5646,0.8599
lfr-n1000-mu3,4,Leiden-LPA-v4,0.0184,0.5055,0.6682
lfr-n1000-mu3,4,Leiden,0.0345,0.5663,0.894
lfr-n1000-mu3,5,Leiden-LPA-v4,0.0154,0.4905,0.6288
lfr-n1000-mu3,5,Leiden,0.0341,0.5664,0.8742
lfr-n1000-mu3,6,Leiden-LPA-v4,0.0199,0.5067,0.6529
lfr-n1000-mu3,6,Leiden,0.0346,0.5667,0.8742
lfr-n1000-mu3,7,Leiden-LPA-v4,0.018,0.4945,0.6635
lfr-n1000-mu3,7,Leiden,0.0345,0.5658,0.8953
lfr-n1000-mu3,8,Leiden-LPA-v4,0.0155,0.512,0.6736
lfr-n1000-mu3,8,Leiden,0.0343,0.5653,0.8792
lfr-n1000-mu3,9,Leiden-LPA-v4,0.0189,0.4842,0.6044
lfr-n1000-mu3,9,Leiden,0.0333,0.5651,0.8916
lfr-n1000-mu5,0,Leiden-LPA-v4,0.0313,0.2227,0.2787
lfr-n1000-mu5,0,Leiden,0.0476,0.3352,0.4069
lfr-n1000-mu5,1,Leiden-LPA-v4,0.0295,0.2516,0.2528
lfr-n1000-mu5,1,Leiden,0.0512,0.3282,0.3919
lfr-n1000-mu5,2,Leiden-LPA-v4,0.0248,0.2895,0.3189
lfr-n1000-mu5,2,Leiden,0.0488,0.3271,0.3818
lfr-n1000-mu5,3,Leiden-LPA-v4,0.0257,0.2768,0.2351
lfr-n1000-mu5,3,Leiden,0.0507,0.332,0.4106
lfr-n1000-mu5,4,Leiden-LPA-v4,0.0279,0.1287,0.211
lfr-n1000-mu5,4,Leiden,0.0491,0.3278,0.3838
lfr-n1000-mu5,5,Leiden-LPA-v4,0.0263,0.2854,0.279
lfr-n1000-mu5,5,Leiden,0.0482,0.3292,0.3841
lfr-n1000-mu5,6,Leiden-LPA-v4,0.0238,0.274,0.2752
lfr-n1000-mu5,6,Leiden,0.0557,0.3248,0.3743
lfr-n1000-mu5,7,Leiden-LPA-v4,0.0297,0.141,0.2372
lfr-n1000-mu5,7,Leiden,0.049,0.3343,0.4077
lfr-n1000-mu5,8,Leiden-LPA-v4,0.0246,0.2872,0.2841
lfr-n1000-mu5,8,Leiden,0.0534,0.318,0.3224
lfr-n1000-mu5,9,Leiden-LPA-v4,0.0285,0.196,0.2353
lfr-n1000-mu5,9,Leiden,0.0505,0.3334,0.3696
lfr-n10000-mu1,0,Leiden-LPA-v4,0.2216,0.7756,0.9439
lfr-n10000-mu1,0,Leiden,0.4438,0.7823,0.9852
lfr-n10000-mu1,1,Leiden-LPA-v4,0.2124,0.7754,0.9454
lfr-n10000-mu1,1,Leiden,0.4512,0.7823,0.985
lfr-n10000-mu1,2,Leiden-LPA-v4,0.2143,0.7756,0.9459
lfr-n10000-mu1,2,Leiden,0.4516,0.7823,0.9841
lfr-n10000-mu1,3,Leiden-LPA-v4,0.2259,0.7755,0.9454
lfr-n10000-mu1,3,Leiden,0.4451,0.7823,0.9842
lfr-n10000-mu1,4,Leiden-LPA-v4,0.2144,0.7752,0.9444
lfr-n10000-mu1,4,Leiden,0.4492,0.7823,0.9866
lfr-n10000-mu1,5,Leiden-LPA-v4,0.2293,0.7756,0.9436
lfr-n10000-mu1,5,Leiden,0.4486,0.7823,0.9844
lfr-n10000-mu1,6,Leiden-LPA-v4,0.2838,0.7757,0.944
lfr-n10000-mu1,6,Leiden,0.4595,0.7823,0.9854
lfr-n10000-mu1,7,Leiden-LPA-v4,0.2344,0.7754,0.9434
lfr-n10000-mu1,7,Leiden,0.4607,0.7823,0.9853
lfr-n10000-mu1,8,Leiden-LPA-v4,0.2209,0.7746,0.9418
lfr-n10000-mu1,8,Leiden,0.4482,0.7823,0.9835
lfr-n10000-mu1,9,Leiden-LPA-v4,0.2302,0.7747,0.944
lfr-n10000-mu1,9,Leiden,0.4987,0.7823,0.9844
lfr-n10000-mu3,0,Leiden-LPA-v4,0.2463,0.5534,0.7267
lfr-n10000-mu3,0,Leiden,0.5317,0.6074,0.8944
lfr-n10000-mu3,1,Leiden-LPA-v4,0.2252,0.5566,0.7334
lfr-n10000-mu3,1,Leiden,0.5178,0.6081,0.9061
lfr-n10000-mu3,2,Leiden-LPA-v4,0.2273,0.5509,0.7104
lfr-n10000-mu3,2,Leiden,0.5192,0.6085,0.9067
lfr-n10000-mu3,3,Leiden-LPA-v4,0.265,0.5565,0.7254
lfr-n10000-mu3,3,Leiden,0.5145,0.6081,0.9026
lfr-n10000-mu3,4,Leiden-LPA-v4,0.3106,0.5536,0.7186
lfr-n10000-mu3,4,Leiden,0.5192,0.6082,0.8968
lfr-n10000-mu3,5,Leiden-LPA-v4,0.2507,0.5533,0.7197
lfr-n10000-mu3,5,Leiden,0.5285,0.6082,0.9043
lfr-n10000-mu3,6,Leiden-LPA-v4,0.2449,0.552,0.71
lfr-n10000-mu3,6,Leiden,0.51,0.6084,0.9051
lfr-n10000-mu3,7,Leiden-LPA-v4,0.2341,0.5555,0.7214
lfr-n10000-mu3,7,Leiden,0.5175,0.6081,0.9038
lfr-n10000-mu3,8,Leiden-LPA-v4,0.2188,0.5512,0.7069
lfr-n10000-mu3,8,Leiden,0.5123,0.6083,0.9077
lfr-n10000-mu3,9,Leiden-LPA-v4,0.2254,0.5568,0.7277
lfr-n10000-mu3,9,Leiden,0.5202,0.6082,0.9012
lfr-n10000-mu5,0,Leiden-LPA-v4,0.3926,0.1477,0.1786
lfr-n10000-mu5,0,Leiden,0.7245,0.3248,0.2927
lfr-n10000-mu5,1,Leiden-LPA-v4,0.3659,0.2894,0.2274
lfr-n10000-mu5,1,Leiden,0.7211,0.3191,0.2601
lfr-n10000-mu5,2,Leiden-LPA-v4,0.422,0.2736,0.224
lfr-n10000-mu5,2,Leiden,0.712,0.3286,0.3191
lfr-n10000-mu5,3,Leiden-LPA-v4,0.353,0.2892,0.2463
lfr-n10000-mu5,3,Leiden,0.7206,0.3177,0.2716
lfr-n10000-mu5,4,Leiden-LPA-v4,0.3506,0.291,0.2604
lfr-n10000-mu5,4,Leiden,0.7335,0.3324,0.3437
lfr-n10000-mu5,5,Leiden-LPA-v4,0.3359,0.2882,0.2291
lfr-n10000-mu5,5,Leiden,0.7662,0.3235,0.2772
lfr-n10000-mu5,6,Leiden-LPA-v4,0.3775,0.2461,0.2255
lfr-n10000-mu5,6,Leiden,0.7202,0.3248,0.2972
lfr-n10000-mu5,7,Leiden-LPA-v4,0.4132,0.2557,0.2366
lfr-n10000-mu5,7,Leiden,0.7094,0.3279,0.3075
lfr-n10000-mu5,8,Leiden-LPA-v4,0.375,0.2892,0.2647
lfr-n10000-mu5,8,Leiden,-0.9857,0.3294,0.3106
lfr-n10000-mu5,9,Leiden-LPA-v4,0.357,0.0993,0.1545
lfr-n10000-mu5,9,Leiden,0.6975,0.3266,0.3094
lfr-n120-mu1,0,Leiden-LPA-v4,0.0028,0.0442,0.1863
lfr-n120-mu1,0,Leiden,0.0049,0.2492,0.1857
lfr-n120-mu1,1,Leiden-LPA-v4,0.0029,0.0861,0.2123
lfr-n120-mu1,1,Leiden,0.005,0.2472,0.1493
lfr-n120-mu1,2,Leiden-LPA-v4,0.0034,0.1173,0.1531
lfr-n120-mu1,2,Leiden,0.0051,0.2556,0.1658
