Graph,Algorithm,Time (s),Modularity,NMI
lfr-n120-mu1,Leiden,0.0048 (±0.0003),0.2489 (±0.0057),0.1704 (±0.0168)
lfr-n120-mu1,Leiden-LPA-v4,0.0028 (±0.0003),0.0849 (±0.0364),0.1735 (±0.0228)
lfr-n120-mu3,Leiden,0.0034 (±0.0001),0.4758 (±0.0005),0.8505 (±0.0123)
lfr-n120-mu3,Leiden-LPA-v4,0.0023 (±0.0002),0.3603 (±0.0000),0.5398 (±0.0000)
lfr-n120-mu5,Leiden,0.0042 (±0.0002),0.2880 (±0.0040),0.1915 (±0.0173)
lfr-n120-mu5,Leiden-LPA-v4,0.0028 (±0.0004),0.1023 (±0.0675),0.1093 (±0.0252)
lfr-n500-mu1,Leiden,0.0170 (±0.0008),0.5335 (±0.0000),0.9628 (±0.0000)
lfr-n500-mu1,Leiden-LPA-v4,0.0091 (±0.0006),0.4927 (±0.0081),0.8206 (±0.0069)
lfr-n500-mu3,Leiden,0.0201 (±0.0011),0.4424 (±0.0022),0.8619 (±0.0169)
lfr-n500-mu3,Leiden-LPA-v4,0.0108 (±0.0010),0.2620 (±0.0269),0.4322 (±0.0502)
lfr-n500-mu5,Leiden,0.0251 (±0.0015),0.3100 (±0.0044),0.2785 (±0.0204)
lfr-n500-mu5,Leiden-LPA-v4,0.0119 (±0.0015),0.2601 (±0.0212),0.2232 (±0.0254)
lfr-n1000-mu1,Leiden,0.0288 (±0.0009),0.7586 (±0.0000),0.9719 (±0.0005)
lfr-n1000-mu1,Leiden-LPA-v4,0.0216 (±0.0134),0.7237 (±0.0000),0.8750 (±0.0000)
lfr-n1000-mu3,Leiden,0.0343 (±0.0005),0.5658 (±0.0007),0.8822 (±0.0110)
lfr-n1000-mu3,Leiden-LPA-v4,0.0174 (±0.0016),0.4999 (±0.0087),0.6518 (±0.0222)
lfr-n1000-mu5,Leiden,0.0504 (±0.0025),0.3290 (±0.0052),0.3833 (±0.0257)
lfr-n1000-mu5,Leiden-LPA-v4,0.0272 (±0.0025),0.2353 (±0.0611),0.2607 (±0.0320)
lfr-n5000-mu1,Leiden,0.1885 (±0.0065),0.7955 (±0.0000),0.9805 (±0.0015)
lfr-n5000-mu1,Leiden-LPA-v4,0.0962 (±0.0242),0.7849 (±0.0011),0.9182 (±0.0044)
lfr-n5000-mu3,Leiden,0.2441 (±0.0054),0.5663 (±0.0008),0.9483 (±0.0033)
lfr-n5000-mu3,Leiden-LPA-v4,0.1200 (±0.0186),0.5348 (±0.0021),0.8132 (±0.0096)
lfr-n5000-mu5,Leiden,0.3155 (±0.0105),0.3277 (±0.0033),0.3320 (±0.0219)
lfr-n5000-mu5,Leiden-LPA-v4,0.1429 (±0.0119),0.2983 (±0.0068),0.2719 (±0.0160)
lfr-n10000-mu1,Leiden,0.4557 (±0.0161),0.7823 (±0.0000),0.9848 (±0.0009)
lfr-n10000-mu1,Leiden-LPA-v4,0.2287 (±0.0207),0.7753 (±0.0004),0.9442 (±0.0012)
lfr-n10000-mu3,Leiden,0.5191 (±0.0067),0.6081 (±0.0003),0.9029 (±0.0043)
lfr-n10000-mu3,Leiden-LPA-v4,0.2448 (±0.0271),0.5540 (±0.0022),0.7200 (±0.0087)
lfr-n10000-mu5,Leiden,0.5519 (±0.5406),0.3255 (±0.0045),0.2989 (±0.0247)
lfr-n10000-mu5,Leiden-LPA-v4,0.3743 (±0.0279),0.2469 (±0.0679),0.2247 (±0.0343)
