Graph,Core Ratio,Time (s),Modularity,NMI
lfr-n1000-mu1,0.2,0.0123 (±0.0004),0.7299 (±0.0000),0.8738 (±0.0000)
lfr-n1000-mu1,0.4,0.0181 (±0.0002),0.7479 (±0.0000),0.9176 (±0.0000)
lfr-n1000-mu1,0.6,0.0244 (±0.0003),0.7532 (±0.0002),0.9448 (±0.0005)
lfr-n1000-mu1,0.8,0.0326 (±0.0006),0.7560 (±0.0001),0.9540 (±0.0019)
lfr-n1000-mu1,1.0,0.0293 (±0.0007),0.7586 (±0.0000),0.9719 (±0.0005)
lfr-n1000-mu3,0.2,0.0147 (±0.0013),0.5007 (±0.0050),0.6365 (±0.0172)
lfr-n1000-mu3,0.4,0.0190 (±0.0003),0.5351 (±0.0048),0.7368 (±0.0190)
lfr-n1000-mu3,0.6,0.0278 (±0.0007),0.5486 (±0.0042),0.7990 (±0.0110)
lfr-n1000-mu3,0.8,0.0368 (±0.0016),0.5626 (±0.0007),0.8567 (±0.0060)
lfr-n1000-mu3,1.0,0.0357 (±0.0013),0.5658 (±0.0007),0.8822 (±0.0110)
lfr-n1000-mu5,0.2,-0.1179 (±0.4444),0.2187 (±0.0830),0.2481 (±0.0341)
lfr-n1000-mu5,0.4,0.0268 (±0.0009),0.3016 (±0.0051),0.3440 (±0.0169)
lfr-n1000-mu5,0.6,0.0377 (±0.0009),0.3145 (±0.0037),0.3657 (±0.0134)
lfr-n1000-mu5,0.8,0.0523 (±0.0035),0.3237 (±0.0042),0.3963 (±0.0157)
lfr-n1000-mu5,1.0,0.0511 (±0.0024),0.3290 (±0.0052),0.3833 (±0.0257)
lfr-n10000-mu1,0.2,0.1785 (±0.0042),0.7735 (±0.0005),0.9366 (±0.0028)
lfr-n10000-mu1,0.4,0.2658 (±0.0257),0.7806 (±0.0002),0.9632 (±0.0016)
lfr-n10000-mu1,0.6,0.3685 (±0.0369),0.7817 (±0.0001),0.9767 (±0.0014)
lfr-n10000-mu1,0.8,0.4957 (±0.0271),0.7820 (±0.0000),0.9803 (±0.0013)
lfr-n10000-mu1,1.0,0.4609 (±0.0068),0.7823 (±0.0000),0.9848 (±0.0009)
lfr-n10000-mu3,0.2,0.2114 (±0.0175),0.5542 (±0.0027),0.7164 (±0.0091)
lfr-n10000-mu3,0.4,0.2768 (±0.0335),0.5848 (±0.0012),0.7998 (±0.0067)
lfr-n10000-mu3,0.6,0.3987 (±0.0391),0.5980 (±0.0007),0.8444 (±0.0073)
lfr-n10000-mu3,0.8,0.3754 (±0.4404),0.6040 (±0.0004),0.8760 (±0.0053)
lfr-n10000-mu3,1.0,0.5232 (±0.0058),0.6081 (±0.0003),0.9029 (±0.0043)
lfr-n10000-mu5,0.2,0.3047 (±0.0120),0.2437 (±0.0629),0.2337 (±0.0336)
lfr-n10000-mu5,0.4,0.3838 (±0.0314),0.3005 (±0.0110),0.3031 (±0.0190)
lfr-n10000-mu5,0.6,0.5294 (±0.0312),0.3107 (±0.0040),0.3206 (±0.0162)
lfr-n10000-mu5,0.8,0.7238 (±0.0458),0.3204 (±0.0023),0.3349 (±0.0088)
lfr-n10000-mu5,1.0,0.5873 (±0.4408),0.3255 (±0.0045),0.2989 (±0.0247)
lfr-n120-mu1,0.2,0.0018 (±0.0002),0.0578 (±0.0271),0.1584 (±0.0061)
lfr-n120-mu1,0.4,0.0025 (±0.0001),0.1538 (±0.0146),0.2722 (±0.0476)
lfr-n120-mu1,0.6,0.0037 (±0.0001),0.2153 (±0.0161),0.2529 (±0.0554)
lfr-n120-mu1,0.8,0.0050 (±0.0002),0.2322 (±0.0020),0.2258 (±0.0282)
lfr-n120-mu1,1.0,0.0048 (±0.0002),0.2489 (±0.0057),0.1704 (±0.0168)
lfr-n120-mu3,0.2,0.0016 (±0.0000),0.4024 (±0.0000),0.5820 (±0.0000)
lfr-n120-mu3,0.4,0.0022 (±0.0000),0.4264 (±0.0116),0.6352 (±0.0394)
lfr-n120-mu3,0.6,0.0030 (±0.0001),0.4411 (±0.0048),0.6561 (±0.0275)
lfr-n120-mu3,0.8,0.0040 (±0.0002),0.4678 (±0.0003),0.8167 (±0.0039)
lfr-n120-mu3,1.0,0.0035 (±0.0001),0.4758 (±0.0005),0.8505 (±0.0123)
lfr-n120-mu5,0.2,0.0018 (±0.0003),0.1268 (±0.0744),0.1398 (±0.0204)
lfr-n120-mu5,0.4,0.0027 (±0.0002),0.2440 (±0.0051),0.1921 (±0.0164)
lfr-n120-mu5,0.6,0.0035 (±0.0002),0.2615 (±0.0096),0.2557 (±0.0336)
