Graph,Algorithm,Time (s),Modularity,NMI
lfr-n120-mu1,Leiden,0.0048 (±0.0002),0.2489 (±0.0057),0.1704 (±0.0168)
lfr-n120-mu1,Leiden-LPA-v1,0.0049 (±0.0003),0.2489 (±0.0057),0.1704 (±0.0168)
lfr-n120-mu3,Leiden,0.0036 (±0.0002),0.4758 (±0.0005),0.8505 (±0.0123)
lfr-n120-mu3,Leiden-LPA-v1,0.0035 (±0.0002),0.4758 (±0.0005),0.8505 (±0.0123)
lfr-n120-mu5,Leiden,0.0043 (±0.0002),0.2880 (±0.0040),0.1915 (±0.0173)
lfr-n120-mu5,Leiden-LPA-v1,0.0044 (±0.0003),0.2880 (±0.0040),0.1915 (±0.0173)
lfr-n500-mu1,Leiden,0.0166 (±0.0007),0.5335 (±0.0000),0.9628 (±0.0000)
lfr-n500-mu1,Leiden-LPA-v1,0.0168 (±0.0007),0.5335 (±0.0000),0.9628 (±0.0000)
lfr-n500-mu3,Leiden,0.0200 (±0.0011),0.4424 (±0.0022),0.8619 (±0.0169)
lfr-n500-mu3,Leiden-LPA-v1,0.0205 (±0.0020),0.4424 (±0.0022),0.8619 (±0.0169)
lfr-n500-mu5,Leiden,0.0250 (±0.0013),0.3100 (±0.0044),0.2785 (±0.0204)
lfr-n500-mu5,Leiden-LPA-v1,0.0254 (±0.0022),0.3100 (±0.0044),0.2785 (±0.0204)
lfr-n1000-mu1,Leiden,0.0292 (±0.0008),0.7586 (±0.0000),0.9719 (±0.0005)
lfr-n1000-mu1,Leiden-LPA-v1,0.0336 (±0.0128),0.7586 (±0.0000),0.9719 (±0.0005)
lfr-n1000-mu3,Leiden,0.0349 (±0.0007),0.5658 (±0.0007),0.8822 (±0.0110)
lfr-n1000-mu3,Leiden-LPA-v1,0.0353 (±0.0005),0.5658 (±0.0007),0.8822 (±0.0110)
lfr-n1000-mu5,Leiden,0.0513 (±0.0020),0.3290 (±0.0052),0.3833 (±0.0257)
lfr-n1000-mu5,Leiden-LPA-v1,0.0514 (±0.0020),0.3290 (±0.0052),0.3833 (±0.0257)
lfr-n5000-mu1,Leiden,0.1915 (±0.0056),0.7955 (±0.0000),0.9805 (±0.0015)
lfr-n5000-mu1,Leiden-LPA-v1,0.1916 (±0.0044),0.7955 (±0.0000),0.9805 (±0.0015)
lfr-n5000-mu3,Leiden,0.2545 (±0.0053),0.5663 (±0.0008),0.9483 (±0.0033)
lfr-n5000-mu3,Leiden-LPA-v1,0.2540 (±0.0052),0.5663 (±0.0008),0.9483 (±0.0033)
lfr-n5000-mu5,Leiden,0.3253 (±0.0112),0.3277 (±0.0033),0.3320 (±0.0219)
lfr-n5000-mu5,Leiden-LPA-v1,0.3308 (±0.0168),0.3277 (±0.0033),0.3320 (±0.0219)
lfr-n10000-mu1,Leiden,0.4783 (±0.0183),0.7823 (±0.0000),0.9848 (±0.0009)
lfr-n10000-mu1,Leiden-LPA-v1,0.4884 (±0.0164),0.7823 (±0.0000),0.9848 (±0.0009)
lfr-n10000-mu3,Leiden,0.5290 (±0.0121),0.6081 (±0.0003),0.9029 (±0.0043)
lfr-n10000-mu3,Leiden-LPA-v1,0.5351 (±0.0127),0.6081 (±0.0003),0.9029 (±0.0043)
lfr-n10000-mu5,Leiden,0.7370 (±0.0240),0.3255 (±0.0045),0.2989 (±0.0247)
lfr-n10000-mu5,Leiden-LPA-v1,0.5906 (±0.4868),0.3255 (±0.0045),0.2989 (±0.0247)
