Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n1000-mu1,0,Leiden-LPA-v11,0.0512,0.7491,0.9161
lfr-n1000-mu1,0,Leiden,0.026,0.7586,0.9716
lfr-n1000-mu1,1,Leiden-LPA-v11,0.0189,0.7491,0.9161
lfr-n1000-mu1,1,Leiden,0.0254,0.7586,0.9726
lfr-n1000-mu1,2,Leiden-LPA-v11,0.0195,0.7491,0.9161
lfr-n1000-mu1,2,Leiden,0.0254,0.7586,0.9716
lfr-n1000-mu1,3,Leiden-LPA-v11,0.0185,0.7488,0.9181
lfr-n1000-mu1,3,Leiden,0.0278,0.7586,0.9716
lfr-n1000-mu1,4,Leiden-LPA-v11,0.0181,0.7491,0.9161
lfr-n1000-mu1,4,Leiden,0.0258,0.7586,0.9716
lfr-n1000-mu1,5,Leiden-LPA-v11,0.0177,0.7491,0.9161
lfr-n1000-mu1,5,Leiden,0.0259,0.7586,0.9716
lfr-n1000-mu1,6,Leiden-LPA-v11,0.0184,0.7491,0.9161
lfr-n1000-mu1,6,Leiden,0.0259,0.7586,0.9716
lfr-n1000-mu1,7,Leiden-LPA-v11,0.0181,0.7491,0.9161
lfr-n1000-mu1,7,Leiden,0.0261,0.7586,0.9726
lfr-n1000-mu1,8,Leiden-LPA-v11,0.0178,0.7491,0.9161
lfr-n1000-mu1,8,Leiden,0.0258,0.7586,0.9716
lfr-n1000-mu1,9,Leiden-LPA-v11,0.0179,0.7491,0.9161
lfr-n1000-mu1,9,Leiden,0.0266,0.7586,0.9726
lfr-n1000-mu3,0,Leiden-LPA-v11,0.0209,0.5345,0.7427
lfr-n1000-mu3,0,Leiden,0.031,0.5662,0.8801
lfr-n1000-mu3,1,Leiden-LPA-v11,0.0204,0.5309,0.7147
lfr-n1000-mu3,1,Leiden,0.0313,0.5659,0.8832
lfr-n1000-mu3,2,Leiden-LPA-v11,0.0196,0.5331,0.737
lfr-n1000-mu3,2,Leiden,0.0318,0.5656,0.8899
lfr-n1000-mu3,3,Leiden-LPA-v11,0.0197,0.5329,0.7298
lfr-n1000-mu3,3,Leiden,0.0309,0.5646,0.8599
lfr-n1000-mu3,4,Leiden-LPA-v11,0.0206,0.5356,0.7298
lfr-n1000-mu3,4,Leiden,0.0319,0.5663,0.894
lfr-n1000-mu3,5,Leiden-LPA-v11,0.0205,0.5299,0.718
lfr-n1000-mu3,5,Leiden,0.0318,0.5664,0.8742
lfr-n1000-mu3,6,Leiden-LPA-v11,0.0202,0.5257,0.7057
lfr-n1000-mu3,6,Leiden,0.0321,0.5667,0.8742
lfr-n1000-mu3,7,Leiden-LPA-v11,0.0206,0.5281,0.7138
lfr-n1000-mu3,7,Leiden,0.0318,0.5658,0.8953
lfr-n1000-mu3,8,Leiden-LPA-v11,0.0202,0.5283,0.7233
lfr-n1000-mu3,8,Leiden,0.032,0.5653,0.8792
lfr-n1000-mu3,9,Leiden-LPA-v11,0.0212,0.5323,0.7202
lfr-n1000-mu3,9,Leiden,0.0328,0.5651,0.8916
lfr-n1000-mu5,0,Leiden-LPA-v11,2.325,0.3029,0.3306
lfr-n1000-mu5,0,Leiden,0.0433,0.3352,0.4069
lfr-n1000-mu5,1,Leiden-LPA-v11,0.0278,0.3098,0.3909
lfr-n1000-mu5,1,Leiden,0.0463,0.3282,0.3919
