Graph,Algorithm,Time (s),Modularity,NMI
lfr-n120-mu1,Leiden,0.0048 (±0.0002),0.2489 (±0.0057),0.1704 (±0.0168)
lfr-n120-mu1,Leiden-LPA-v6,0.0015 (±0.0001),0.0271 (±0.0011),0.1131 (±0.0077)
lfr-n120-mu3,Leiden,0.0035 (±0.0001),0.4758 (±0.0005),0.8505 (±0.0123)
lfr-n120-mu3,Leiden-LPA-v6,0.0017 (±0.0001),0.3019 (±0.0153),0.4896 (±0.0301)
lfr-n120-mu5,Leiden,0.0044 (±0.0003),0.2880 (±0.0040),0.1915 (±0.0173)
lfr-n120-mu5,Leiden-LPA-v6,0.0015 (±0.0001),0.1183 (±0.0118),0.1495 (±0.0333)
lfr-n500-mu1,Leiden,0.0171 (±0.0009),0.5335 (±0.0000),0.9628 (±0.0000)
lfr-n500-mu1,Leiden-LPA-v6,0.0068 (±0.0003),0.3812 (±0.0049),0.5731 (±0.0067)
lfr-n500-mu3,Leiden,0.0199 (±0.0006),0.4424 (±0.0022),0.8619 (±0.0169)
lfr-n500-mu3,Leiden-LPA-v6,0.0069 (±0.0003),0.1900 (±0.0207),0.3136 (±0.0249)
lfr-n500-mu5,Leiden,0.0255 (±0.0014),0.3100 (±0.0044),0.2785 (±0.0204)
lfr-n500-mu5,Leiden-LPA-v6,0.0069 (±0.0003),0.2216 (±0.0071),0.2392 (±0.0224)
lfr-n1000-mu1,Leiden,0.0293 (±0.0007),0.7586 (±0.0000),0.9719 (±0.0005)
lfr-n1000-mu1,Leiden-LPA-v6,0.0152 (±0.0133),0.7217 (±0.0000),0.8465 (±0.0000)
lfr-n1000-mu3,Leiden,0.0349 (±0.0006),0.5658 (±0.0007),0.8822 (±0.0110)
lfr-n1000-mu3,Leiden-LPA-v6,0.0112 (±0.0003),0.4614 (±0.0044),0.5612 (±0.0141)
lfr-n1000-mu5,Leiden,0.0539 (±0.0048),0.3290 (±0.0052),0.3833 (±0.0257)
lfr-n1000-mu5,Leiden-LPA-v6,0.0154 (±0.0007),0.2525 (±0.0023),0.2880 (±0.0125)
lfr-n5000-mu1,Leiden,0.1902 (±0.0040),0.7955 (±0.0000),0.9805 (±0.0015)
lfr-n5000-mu1,Leiden-LPA-v6,0.0653 (±0.0018),0.7654 (±0.0009),0.8732 (±0.0047)
lfr-n5000-mu3,Leiden,0.2528 (±0.0058),0.5663 (±0.0008),0.9483 (±0.0033)
lfr-n5000-mu3,Leiden-LPA-v6,0.0844 (±0.0080),0.4814 (±0.0027),0.6668 (±0.0099)
lfr-n5000-mu5,Leiden,0.3240 (±0.0126),0.3277 (±0.0033),0.3320 (±0.0219)
lfr-n5000-mu5,Leiden-LPA-v6,0.0910 (±0.0034),0.2593 (±0.0023),0.2792 (±0.0097)
lfr-n10000-mu1,Leiden,0.4779 (±0.0171),0.7823 (±0.0000),0.9848 (±0.0009)
lfr-n10000-mu1,Leiden-LPA-v6,0.1542 (±0.0091),0.7505 (±0.0002),0.8906 (±0.0020)
lfr-n10000-mu3,Leiden,0.5384 (±0.0145),0.6081 (±0.0003),0.9029 (±0.0043)
lfr-n10000-mu3,Leiden-LPA-v6,0.1734 (±0.0091),0.5093 (±0.0025),0.6090 (±0.0088)
lfr-n10000-mu5,Leiden,0.5062 (±0.7562),0.3255 (±0.0045),0.2989 (±0.0247)
lfr-n10000-mu5,Leiden-LPA-v6,0.2304 (±0.0397),0.2489 (±0.0024),0.2555 (±0.0089)
